-4128,1636,16908,-665,94,131
-4104,1648,17028,-651,65,162
-4216,1640,17128,-578,72,244
-4264,1516,17000,-478,101,233
-4192,1492,16940,-281,72,371
-4304,1636,17084,-139,-44,442
-4132,1636,17012,-52,-94,500
-4024,1640,17044,28,-69,590
-4128,1700,17000,31,-128,578
-4048,1956,16876,98,-192,571
-3928,1920,16888,-16,-144,461
-4064,1796,16832,-265,44,327
-4060,1868,16980,-287,56,348
-4012,1812,16924,-334,-17,282
-4048,1768,17024,-310,-29,292
-4024,1776,17028,-283,-76,357
-4116,1892,17020,-218,-98,352
-3872,1796,17008,-135,-78,455
-3992,1820,17028,-131,-120,440
-3896,2076,16964,-208,-185,362
-4324,1884,17704,-334,-243,349
-4472,1896,17732,-603,-970,619
-3644,1940,16984,-628,-1388,779
-3800,1920,17132,-896,-1161,515
-3288,1908,16540,-833,-1370,627
-4080,1988,18092,-1081,-1062,447
-3364,1712,16980,-1397,-995,521
-3044,1764,16708,-1607,-651,395
-3708,1364,17664,-1624,-484,221
-3200,1108,17312,-1130,-365,231
-3328,1260,17544,-792,-380,293
-3220,1276,17296,-453,-484,376
-3116,1352,17156,128,-191,363
-3128,1508,17192,176,48,320
-2692,1400,16992,456,374,256
-2612,1264,17120,898,642,275
-2972,1596,17096,1500,1103,325
-3224,2216,16748,1387,1584,85
-3228,2228,16664,335,2034,-139
-3420,2124,17048,-559,1882,-254
-3532,1688,17328,-424,2059,-366
-3388,1764,17296,-175,2312,-279
-3212,2276,16444,-1267,3708,-1140
-2384,1976,19008,-2437,8955,-3668
-5804,3600,19748,-1984,12646,-6874
-6188,1572,17748,-4537,15409,-7709
-7436,2776,17376,-12122,17086,-7812
-5728,-1616,16436,-10448,20388,-7582
-2224,-60,20648,-5716,19364,-7353
-6068,5728,32767,-619,7520,-3751
588,5784,16500,-2881,-2041,1618
-776,5184,19020,377,-3722,6508
-1044,2184,19716,-577,-9318,8083
-2860,704,21240,1963,-14015,7390
-3644,492,19736,3113,-17188,6182
-5192,2116,18928,4470,-17812,5803
-6956,3440,20660,5842,-18064,6956
-6764,3264,18500,6247,-17631,8561
-6284,1568,16808,6688,-14911,9346
-7580,-872,18728,6250,-9478,8065
-16484,4100,26952,10531,-15300,10448
-12080,-2312,11296,907,-16237,8062
-19828,-6028,8912,4168,-11944,4045
-21040,-11176,-20368,-767,8428,-4371
-4,5692,5476,-4748,17000,-7710
-8040,3152,25816,-4858,13678,-1937
-4184,2624,19888,84,10715,-2184
-6708,6480,20804,-1793,6843,-659
-3028,1972,17544,-2500,3076,-535
-3460,2604,17524,-1494,1730,-175
-4176,2812,18108,-483,1131,222
-3148,3320,16360,-570,1185,263
-3668,3440,16816,-1854,1580,-79
-3884,3200,16856,-2761,1318,-196
-3508,3192,17348,-1546,1365,-127
-4024,2784,17360,-1751,1492,-384
-4260,2460,16876,-1725,1600,-390
-4060,2484,16948,-1641,1633,-427
-4336,2660,17036,-1666,1868,-512
-4360,2516,16936,-1240,1475,-240
-4548,2220,16792,-1159,1165,-232
-4544,2172,17072,-976,899,-193
-4692,2136,16924,-867,740,-84
-4624,1948,16824,-629,650,19
-4744,2136,16740,-500,506,104
-4744,1928,16876,-378,81,184
-4528,2252,16640,-553,-1,-81
-4256,2124,16584,-1069,509,-469
-4484,2012,16868,-1052,1157,-632
-3928,1928,16508,-1089,2149,-1106
-4152,1616,17044,-1081,4224,-1594
-4680,2396,16536,-1617,6949,-2123
-4968,2276,16916,-2929,9481,-3073
-6208,464,16776,-3460,11764,-3848
-6620,1168,16440,-2249,14966,-5328
-7828,500,16780,-2,19425,-7317
-7564,-1832,16064,2862,24835,-8078
-28,-1216,29072,828,20787,-10379
-3584,7360,26380,6740,-171,-6619
520,3256,15624,2401,-2038,-2523
-920,3720,18920,1041,-5718,961
-1600,2224,18800,1581,-11454,2937
-3412,3484,17932,474,-15165,3696
-6200,5888,19488,1059,-17701,6551
-7376,3932,19400,1101,-20017,8689
-8328,3560,19148,2022,-20717,8056
-8792,4368,18164,3139,-19110,7696
-6672,1900,13452,3194,-13936,6988
-9548,-724,20452,7542,-7794,4994
-15484,2224,26076,10707,-11335,4701
-14608,1260,16364,5785,-18190,3925
-19360,3528,13820,7094,-19529,5294
-20996,-4084,-11544,932,-2522,5012
-3608,4832,19636,-8163,10321,2554
-3504,-6496,28472,-9089,22240,-4428
-6672,6232,20088,-4678,16301,-4481
-8452,6144,22868,-4331,12327,-3568
-3704,-2252,20956,-4330,2234,-697
-3752,1520,17544,-5027,1123,-813
-3728,1324,17704,-2928,998,-226
-3356,2356,16536,-1285,739,165
-3664,2008,17108,-1204,550,90
-3872,2172,17244,-1085,528,44
-3720,1680,16908,-1066,566,15
-3460,1768,16892,-758,669,182
-4364,1668,17968,-520,871,265
-3704,2060,16744,-123,845,387
-4160,1756,17316,-166,884,319
-4124,2104,17232,-48,739,261
-4160,2028,17016,6,408,316
-4040,2128,16864,-128,123,281
-4168,2016,16832,-267,36,186
-4136,1956,16844,-328,-177,166
-3964,1972,17000,-221,-236,161
-3988,1700,16976,0,-270,247
-3852,1884,17104,444,-80,404
-3976,2388,16980,410,313,345
-3832,2584,16508,-423,411,35
-3792,2496,16484,-1382,496,-455
-3800,2216,16952,-1956,514,-1036
-4048,1912,17108,-1831,988,-1332
-3972,1724,17124,-1574,1433,-1545
-3792,1532,17288,-1368,2189,-1929
-4140,1684,17340,-1201,4712,-2210
-4680,1008,17644,-845,7512,-2641
-4964,1368,16800,-1330,10410,-1822
-5668,1144,17200,-1662,14022,-2705
-5936,2288,15928,-2847,17666,-3773
-7424,1248,16816,-3792,22057,-5144
-8356,-2012,15684,-1090,27484,-7713
-8564,1500,15416,6422,31152,-8804
3204,3336,22804,59,25140,-11150
-8860,12212,32767,6251,9157,-4138
-2600,11876,19448,-3386,-7236,4309
-2880,5264,19164,-1224,-14645,9875
-3620,2648,16412,-902,-20738,10087
-7364,2572,18356,2652,-24973,9726
-10352,4396,16280,3467,-25617,10237
-12496,5816,17284,2131,-23600,14247
