-4248,1876,17044,-225,74,278
-4248,1984,16844,-282,100,294
-4220,1940,16916,-265,102,288
-4288,1988,16896,-228,89,301
-4184,2072,16836,-238,67,319
-4272,1996,16844,-182,57,329
-4240,2028,16896,-244,77,275
-4200,2068,16836,-280,100,259
-4276,2048,16896,-275,130,285
-4116,2024,16948,-296,153,248
-4256,2180,16816,-299,100,266
-4176,1992,16952,-312,105,277
-4308,2060,16972,-304,72,267
-4216,1980,16928,-284,93,245
-4220,2020,16964,-298,116,256
-4184,2012,16916,-277,117,280
-4112,1904,16904,-320,143,275
-4144,2092,16972,-329,121,292
-4208,2084,16720,-269,86,307
-4216,2024,16844,-276,121,310
-4176,2092,16868,-247,126,322
-4192,2084,16916,-287,105,272
-4236,1988,16952,-367,118,231
-4292,2072,16892,-333,121,256
-4224,2016,16820,-319,150,266
-4220,1920,17012,-258,105,305
-4276,2144,17004,-244,29,317
-4248,1984,16976,-246,-16,341
-4280,2092,17020,-178,-186,364
-4404,2004,17160,151,-342,436
-4056,2156,16904,356,-439,572
-4060,2252,16676,137,-298,471
-4204,1992,17492,333,-215,461
-3912,2300,16484,374,-103,467
-3976,2380,16908,106,93,350
-3408,4108,15664,470,60,461
-3696,2952,17008,-762,533,-196
-1108,3128,14512,-3005,2781,-2067
-3372,1140,24076,-1505,8214,-17074
-1960,17688,27876,2952,2910,-20268
9000,16700,16456,6235,1051,-11404
10152,10412,18364,8986,649,-532
5072,3668,20792,9645,-550,6286
-1600,5600,21928,9411,-3902,11316
-5516,7240,19748,3143,-7382,15380
-6892,3136,18684,-3672,-9521,16910
-6328,324,16980,-5184,-8727,15404
-7420,-388,18352,-1423,-7871,11963
-7936,1384,16728,1541,-9339,8539
-8656,-1196,14092,517,-10615,5028
-9408,-4120,9372,267,-8214,1469
-12644,-3016,7000,-386,-2771,-3474
-11676,3520,6416,692,1957,-6885
5616,13232,8240,-7295,14321,-2626
-8516,-2812,27996,-6542,22345,-985
-6136,-268,21608,-248,14708,-5221
-19672,14844,29524,-8599,5438,-1889
-5808,6536,17360,-5070,1792,-928
-3984,2684,16900,-3807,1159,-618
-4232,1568,17840,-1796,1103,-8
-4396,2132,17344,-688,1136,262
-4384,2216,17244,-450,798,221
-4076,2292,16504,-448,761,189
-4328,2256,16784,-629,736,121
-4320,2236,16860,-562,538,104
-4396,2368,16792,-1326,240,-195
-4612,2060,17040,-1493,-82,-302
-4396,1856,16756,-1287,-209,-279
-4240,1892,16716,-1146,27,-272
-4188,1492,16976,-978,217,-229
-4260,1732,16700,-580,461,-109
-4232,1656,16656,-432,852,-284
-4428,1892,16564,-367,945,-396
-4632,1900,16792,-368,906,-576
-4564,1616,16856,-421,1019,-807
-4400,1796,16520,-457,1522,-904
-4144,1920,16800,-805,2809,-1280
-3804,2216,16976,-1347,5193,-2191
-4632,1844,16740,-2408,8757,-3286
-5400,1244,16848,-3585,12890,-3937
-5788,1868,16344,-3745,17188,-4654
-7848,-880,16272,-5765,21564,-4897
-8116,-2048,17672,-1754,25961,-5353
-9424,2320,32767,12520,15142,-2306
-2052,4808,22504,6736,5662,-3532
-1580,5988,21900,-697,-2519,-3959
-384,3040,20044,1273,-7208,-2911
-1308,2700,19492,2132,-12795,-2919
-4104,7712,19764,3153,-17581,-174
-6452,9816,17380,3737,-20541,7576
-8908,5668,19612,4443,-20780,13280
-8864,-108,19952,4214,-21669,11156
-7864,-64,18872,6189,-21457,4656
-9024,2540,18764,9262,-17644,1368
-9284,4536,16148,11149,-12238,2163
-13152,7068,19028,12478,-10029,6697
-18480,6332,21876,10481,-14320,11999
-12756,-1896,7288,5541,-11312,13001
-16324,-8448,4332,2558,-6648,8155
-14528,-4860,9736,202,-1421,-617
-9848,3748,6948,-4381,2900,-1623
17280,13996,32767,-8823,14708,4328
-4064,-620,24236,-14192,26865,-5089
-5880,-1620,24568,-6849,17035,-3070
-3664,3688,18620,-3744,11688,-2150
-5576,3856,19712,-4266,10858,-3085
-6096,-376,23420,-8352,3824,-1917
-5684,2004,19560,-4945,1273,-892
-4632,1984,18336,-3269,950,-300
-3804,1896,17296,-1788,563,131
-3756,1572,16980,-1337,478,217
-3600,1996,16756,-1024,416,237
-4008,1932,16908,-1312,754,-21
-3576,1944,16508,-1352,747,8
-3856,1148,18104,-1525,1191,-292
-3884,1464,17152,-809,694,-21
-4000,1344,16980,-520,857,-26
-3968,1240,16808,-144,1237,-167
-4420,1792,16924,516,1535,30
-4652,2072,17248,528,1369,-39
-4612,2048,16788,340,1021,-96
-4672,1896,16640,29,696,-108
-4524,1920,16888,-142,611,-186
-4364,1836,16708,-175,673,-360
-4240,1616,16624,95,1182,-638
-4492,1760,16732,38,1982,-811
-4096,2308,16852,87,3229,-612
-4248,2192,16704,-313,5398,-1504
-5196,2156,16728,-616,8702,-1915
-5180,2012,17196,-1097,12477,-2010
-5104,2368,16060,-1832,18336,-2764
-6484,4152,16296,-5026,25526,-5344
-12052,3592,16508,-3907,32767,-10245
-8200,1268,14388,10141,32767,-11240
-32768,8916,32767,-4466,28590,-15439
-3396,10552,29220,-1719,-5741,-4423
2192,4264,14840,830,-9910,2634
