-4356,1916,17056,-346,99,226
-4492,1848,16756,-364,109,246
-4320,1864,16864,-330,100,228
-4396,1832,16924,-319,50,268
-4280,1912,16932,-316,96,273
-4360,1936,16864,-319,40,279
-4360,1756,16908,-213,90,385
-4376,1916,16880,-230,115,352
-4380,1876,16992,-337,50,293
-4368,1768,16876,-258,4,364
-4340,1940,16884,-111,20,416
-4324,1992,16728,-198,78,340
-4296,2036,16804,-309,57,257
-4292,1868,16948,-337,121,227
-4316,1924,16820,-282,113,211
-4244,1912,17008,-331,164,184
-4324,1892,16972,-336,149,218
-4364,2012,16912,-356,162,209
-4272,1824,16740,-337,98,221
-4364,1776,16992,-178,40,354
-4320,1776,17084,-82,80,388
-4372,2028,16820,-207,9,326
-4204,1916,17016,-349,81,273
-4272,1932,16840,-418,105,197
-4328,1924,16920,-408,58,234
-4320,1872,16880,-398,63,242
-4352,1912,16976,-292,60,285
-4308,2032,16876,-390,139,218
-4272,1952,16808,-410,106,220
-4408,1844,17172,-388,147,213
-4744,2124,17640,-34,8,337
-4920,2684,17392,-748,-559,75
-4256,3760,16944,-3096,-1107,-1231
-3300,-2428,16988,-7891,-1099,-7898
-4832,6844,18720,1623,5112,-13730
-1896,17064,19372,359,4093,-5871
4268,10392,17524,3227,5038,3410
7068,3200,19048,4984,5671,6907
2940,2484,28552,7241,1249,8873
2888,-700,24336,2104,-8380,8530
1892,-2392,18968,2440,-10568,6119
668,-804,15640,1324,-8116,3880
-7472,2472,22508,6012,-7734,5279
-10764,4508,17896,1562,-10361,6460
-12328,1932,13280,-1418,-9241,6703
-14176,628,10680,-522,-9534,5004
-11236,-2512,6916,1354,-5018,1209
-11568,-7200,-5152,-3134,8110,-3971
4100,2380,5332,-1492,13753,-4616
-8500,5188,24464,-2533,11353,-2923
-5388,2700,20768,-848,8994,-1920
-8740,7796,21032,-4150,3249,-731
-5172,5448,17692,-2313,1602,-312
-4100,3460,17620,-1886,863,-149
-3268,2528,16780,-100,478,403
-3768,3164,17096,1236,612,831
-3504,2964,17108,2024,695,1027
-3684,3312,16680,1879,1304,798
-3064,3016,16484,2703,2126,775
-3432,4020,15996,2695,2621,451
-4604,4344,17360,1633,2542,182
-4296,4472,16184,1431,2397,250
-4360,4516,16060,1719,2470,371
-4708,4784,16100,1760,2269,648
-4672,4932,15736,1115,1952,680
-4720,5368,15464,-355,1597,251
-4628,5696,14940,-2062,914,-555
-4284,6336,13832,-6791,87,-2464
-5484,3716,16756,-9467,-1029,-3608
-5424,1712,18448,-9187,-1114,-3956
-5628,352,18648,-4850,-2057,-2952
-4848,1900,17020,-1956,-570,-673
-4364,2416,16604,-1321,309,-160
-4476,2768,16664,-1672,655,-1012
-4144,2276,16632,-1495,2193,-1662
-4080,1812,16836,-1482,4842,-2506
-4580,2096,16636,-2375,8374,-2944
-5788,1988,16640,-4669,12185,-3453
-5472,640,16620,-4590,17678,-3827
-7948,2164,17484,-3685,24589,-4690
-7440,-2352,16328,1006,32286,-6832
-19664,-3888,32767,7837,25277,-8519
-1288,12892,21716,5370,8874,-5828
-2052,11324,26096,-449,-2026,3259
1332,504,19948,-1721,-11641,5603
-1120,-1972,18840,123,-17563,1613
-4328,3388,18000,1434,-22221,-798
-9304,9044,19784,4339,-25037,3601
-11736,9040,16516,3723,-26417,10427
-13192,5092,20488,4389,-24115,13989
-12132,3204,17932,4924,-22865,13185
-10620,664,15196,6462,-16163,10269
-19184,1064,28636,12119,-15304,9006
-15672,344,13244,2280,-20778,6660
-15280,-2664,7268,6398,-12051,3450
-20644,-4404,5060,4410,-7415,-1130
1708,-216,-22140,-8061,15919,-6325
6532,4960,3496,-9332,18584,-7174
-14432,2788,32416,-7961,19097,-5544
-9228,3300,25552,-2313,14807,-3586
-13908,8668,26832,-5727,6223,-1877
-7144,3804,21284,-3389,2435,-847
-4412,3132,17940,-1626,841,-104
-3792,2884,17032,-698,249,248
-4048,3200,17068,-782,235,248
-3976,2644,17148,-800,70,224
-3584,2976,16680,-379,181,374
-3648,3080,16732,-728,529,257
-3464,3248,15984,-1443,645,69
-3980,2648,17212,-2314,1058,-349
-4156,2344,17500,-1718,938,-243
-4044,2484,17136,-1212,1308,-264
-4192,2532,17024,-597,1174,-59
-4104,2388,16896,-289,1116,-18
-4276,2668,16856,-304,1098,-73
-4172,2672,17152,-527,1057,-143
-4092,2684,16584,-806,1155,-220
-4392,2592,16836,-986,953,-302
-4120,3016,16216,-1357,1142,-479
-4184,2308,16620,-1451,1708,-880
-4380,2304,17032,-1547,2009,-1362
-4200,2124,16736,-1243,3441,-1862
-4432,1424,17080,-832,6104,-2352
-4840,2388,17264,-1732,10387,-1946
