-4168,1544,17140,73,37,475
-4012,1792,17068,256,-124,547
-3948,2132,16804,-86,-24,295
-3952,1936,17036,-424,-88,220
-4012,1916,17204,-480,-137,217
-3908,1620,17136,-343,-101,269
-3960,1812,17048,-129,-55,335
-3940,1832,17044,-321,40,255
-3800,1748,17000,-374,-10,194
-3760,1740,17120,-301,20,238
-3848,1628,17068,-268,31,267
-3892,1872,16992,-264,125,276
-3812,1856,17056,-327,126,223
-3812,1900,17160,-389,86,183
-3840,1684,17112,-329,84,248
-3932,1792,16980,-219,70,317
-3924,1856,16904,-171,41,329
-3780,1892,17032,-283,16,277
-3752,1852,16972,-400,60,235
-3868,1832,17084,-408,125,228
-3836,1696,17064,-343,134,257
-3868,1852,17152,-323,163,260
-3952,1848,17208,-347,135,234
-3856,1816,17028,-374,89,239
-3832,1844,16972,-325,80,281
-3848,1796,17052,-316,30,277
-3764,1836,16880,-298,12,345
-3848,1788,17128,-276,-39,338
-3876,1828,17084,-206,-76,384
-3804,1804,17148,-182,-39,387
-3888,1908,17108,-90,-15,351
-4120,1216,18328,395,-25,474
-3624,2084,17108,615,47,584
-3372,2132,17212,-6,776,138
-1248,1104,15212,-616,2710,-2131
-1352,3328,20048,-1817,8266,-6338
2372,10676,27504,-1122,5912,-5592
8520,11572,20436,410,-73,852
9628,6416,18480,2135,-2055,4403
6924,3336,17560,2766,-2259,4841
1428,4512,18260,3117,-2842,4991
-5660,4924,24512,3315,-1792,5734
-9832,6496,24520,5150,-10972,8691
-8044,704,17844,4008,-12863,8247
-10088,936,14624,4367,-11379,6786
-13156,356,14828,2942,-10568,5180
-11744,-3572,9524,1097,-11219,890
-9780,-3220,6008,4213,-3794,-2345
-12764,-2408,4532,-7218,11726,-6646
-664,5584,11012,-5326,14293,-4148
-6196,-1040,24052,-5006,12569,-3643
-8936,5900,23428,-3379,9660,-2812
-3204,-1164,20116,-5098,3111,-1067
-3692,2252,17476,-3206,1223,-370
-4232,2124,18300,-1889,918,-6
-3572,2396,17160,-462,584,419
-3688,2572,17252,-375,584,369
-3812,2560,17144,-210,458,333
-3728,2608,17216,-92,357,364
-3892,2592,16984,-6,448,440
-3424,2828,16352,-522,536,260
-3724,2656,16832,-969,553,116
-3944,2708,17196,-1173,606,16
-3904,2512,17092,-1186,652,55
-4088,2248,17164,-739,607,138
-3640,2352,16732,-574,738,84
-3940,2456,16680,-521,1006,97
-3632,2656,16524,-1252,1159,-168
-4080,2444,16928,-1733,1213,-486
-4356,1968,17360,-1124,1288,-351
-3864,1984,16892,-850,1658,-428
-4540,2028,17108,-890,1533,-505
-4476,2272,16964,-1082,1850,-668
-4520,1784,16908,-1116,2101,-673
-4344,2132,16660,-1312,2983,-1248
-4260,1896,16992,-1443,4572,-1671
-4384,1608,16864,-1830,7449,-2031
-6104,1880,16364,-2101,9818,-1949
-6772,792,16316,-1560,11356,-1695
-6820,1356,15952,-1533,13248,-1575
-7844,500,15736,-781,15315,-1944
-8544,772,14800,-501,17714,-1761
-9672,-284,14864,-10519,18180,-2806
-10424,-664,14944,-6309,21665,-1525
-1732,-3036,22148,10252,22118,-1693
-9300,740,26664,10228,13709,-9547
-6608,10644,24964,-1881,-7153,-8079
-5168,9316,20632,-2942,-13534,425
-2176,2800,15232,-2061,-17935,4436
-4992,2376,19036,1854,-20717,3247
-6360,4128,18372,2194,-23754,3905
-8848,3952,19048,3591,-24633,5866
-9244,4024,17340,4139,-22828,6013
-10252,4792,20088,5910,-21105,6807
-6748,2268,12412,6619,-15935,7520
-8244,-196,15996,6094,-5311,7567
-20488,1756,32767,13011,-10010,8994
-17460,2192,16328,1730,-25046,7375
-15328,-3052,4988,5402,-16424,5681
-21488,-8892,748,9484,-9772,850
-14344,-5076,-8660,-10343,15273,-7033
6752,2668,2320,-13857,17293,-7801
-9536,-1748,29888,-8170,16794,-4482
-8544,4096,23244,-4505,14278,-4386
-3068,-4900,21316,-6320,2528,-1187
-3980,824,18348,-5121,1679,-853
-4416,1328,18668,-2155,981,-153
-3868,1492,17892,-452,1004,276
-4228,1952,17668,309,1112,337
-3728,1904,16908,730,839,398
-3720,2264,16740,1219,1246,450
-3792,2308,16572,928,1522,355
-4104,2396,16860,622,1509,224
-4212,2384,16892,424,1181,305
-4276,2692,16680,61,1056,292
-4596,2412,17016,-201,902,297
-4256,2468,16760,-283,781,339
-4344,2364,16940,-316,752,275
-4516,2388,16700,-304,654,286
-4512,2604,16792,-159,599,264
-4684,2676,16612,-351,340,217
-4532,2516,16548,-454,132,79
-4608,2368,16740,-688,118,15
-4556,2348,16792,-578,292,143
-4440,2508,16416,-839,520,144
-4340,2760,16444,-1412,1025,-105
-4616,2404,16876,-1411,1307,-210
-4588,2312,16820,-1585,1619,-650
-4468,2092,16928,-1450,2494,-957
-4240,1688,16872,-1061,4486,-803
-4684,2416,16540,-1083,7798,-886
-5204,2072,16536,-1394,10053,-2017
-5408,2316,16264,-1058,13169,-2833
-6708,1216,17120,1738,17601,-4248
-5732,8040,7324,-7375,22269,-5504
-8448,-260,18628,-4897,28557,-7491
-5332,748,17400,12116,30672,-7865
-13868,15084,32767,4826,20457,-5303
-2152,5232,25096,-10214,-1381,-361
-4,-3340,20400,-916,-9517,-1732
-2032,2128,15604,-404,-16179,-4584
-7476,5276,19240,460,-22459,-2421
-9756,7532,14176,1706,-24211,3178
-10876,5104,12708,2736,-22124,9903
-11184,-1176,19804,3775,-20145,10437
-9580,-276,18680,4693,-21231,6001
-8472,1696,16356,7021,-18418,3599
-8004,4712,14708,9266,-11028,3619
-17520,9128,28992,9509,-13544,7490
-15280,-68,18128,4067,-15271,9713
-12564,-616,12848,6634,-11855,9666
-11620,-5224,6548,5059,-8465,5276
-12460,-6040,3224,360,2045,-2407
-12448,1596,780,-7948,12069,-4889
3896,6440,4492,-11046,16482,-3327
-7228,-5372,27032,-8993,17439,-4270
-32192,19184,32767,-13518,9130,-3570
-7672,6412,19940,-2437,1681,6
