-3920,1752,17008,-308,94,283
-3928,1700,16928,-340,104,268
-4024,1860,17128,-337,69,272
-3924,1756,17068,-329,105,280
-3932,1660,16960,-346,121,240
-3884,1720,17172,-339,126,291
-4000,1752,16916,-329,96,259
-3916,1788,16964,-360,89,261
-4012,1856,17036,-339,79,264
-3996,1876,17032,-296,102,308
-3924,1768,17140,-308,100,263
-3900,1800,17056,-360,96,251
-3972,1852,16988,-335,90,287
-3988,1776,17132,-299,73,287
-3984,1692,16864,-315,105,262
-3932,1856,17068,-290,124,259
-3892,1772,16804,-309,101,254
-3932,1820,17112,-309,125,260
-3932,1828,16976,-344,105,257
-4004,1752,17084,-346,105,258
-4016,1816,17016,-410,11,263
-3984,1692,16696,-407,-108,300
-3848,1820,17052,-513,-314,291
-3940,1472,17228,-209,-148,436
-3936,1700,17236,-129,-140,441
-3964,1688,17216,-57,-186,429
-3776,1696,17256,218,-194,539
-3712,1964,16916,-382,226,177
-3748,1844,17240,-338,470,222
-3928,1732,17124,-320,618,162
-4044,1896,17024,-443,714,116
-4020,2056,17120,-552,655,19
-4424,1992,17768,-477,638,-45
-4064,2688,17076,-788,76,-45
-2868,4100,15596,-4443,1177,-2659
-4848,2084,18352,-9447,2031,-6175
-3444,4500,20668,131,3227,-6876
1244,8448,19404,531,3317,-4971
5924,10120,15616,1711,3510,1621
7220,5448,15620,4439,5140,6817
276,4480,27508,8165,2146,10131
-72,3028,21844,4441,-7494,11745
-316,-200,18608,1837,-9335,10120
-2176,928,18168,1589,-7851,7206
-8256,3352,22980,6928,-10274,6870
-8904,1768,17728,4969,-13749,5119
-7944,-2452,11992,5877,-10851,821
-8020,-2480,11192,7728,-6601,-4193
-7104,3328,11036,3530,-4843,-5215
-7104,4932,12212,-547,-2123,-3259
-11496,200,5416,-10280,9342,-5562
440,3392,11552,-10096,10566,-3115
-4572,-1500,21300,-6434,13862,-3384
-6172,5400,19164,-4386,11446,-3235
-6072,-1124,21648,-6550,-70,-878
-5144,3188,18496,-2711,845,-107
-4400,2864,17460,-1960,729,-7
-4136,2544,17416,-1799,577,-46
-3752,2340,16960,-1602,496,61
-3904,2168,17088,-1587,715,34
-3968,2016,16988,-1574,699,49
-4116,1736,17300,-1088,605,151
-4152,1868,17328,-369,427,305
-4128,2056,16948,-382,359,232
-4248,1948,17068,-198,166,292
-4124,1888,17032,-100,89,333
-3940,1940,16920,-70,104,303
-4088,2052,16848,-172,71,246
-4160,2160,17024,-449,31,148
-4084,1848,17164,-401,14,202
-4048,2048,17024,-459,-23,194
-4020,1924,17112,-574,20,101
-4064,1900,16972,-557,172,108
-3868,2060,16792,-573,320,43
-3996,2148,16860,-981,269,-254
-3832,2172,16568,-1468,558,-626
-3768,1824,16752,-1357,1154,-1037
-4304,1556,17188,-1380,1194,-1138
-4120,1748,17236,-1750,1357,-1803
-3632,936,17168,-2265,1990,-2588
-3812,192,17312,-2249,5333,-2105
-4192,1308,16864,-2945,9008,-1386
-4152,1000,17280,-4615,13109,-1271
-5140,944,16700,-5207,17982,-1983
-6904,-804,17044,-8071,24148,-2397
-7456,-960,17216,-3829,30999,-3477
7924,-8448,32767,-4263,28309,-5740
1640,4588,29400,4392,7814,-8240
2324,10012,22672,5026,-81,-2220
148,8724,22004,4436,-8529,5037
-2388,2488,23028,3209,-17715,7722
-2816,-880,19184,3216,-23270,5520
-6016,488,19484,6255,-24791,4044
-8596,2980,20900,6123,-25577,4920
-7932,2240,17420,6980,-23756,5394
